,Question,choice 1,choice 2,choice 3,choice 4
5364,Can you name a good reason for attending school?,get smart,boredom,colds and flu,taking tests
5365,What state south of Kentucky and north of Alabama will you find people playing the fiddle?,alabama,tennessee,violin case,music store
5366,"Though she made the cut years ago, its figurative scars would never what?",joining,put together,stitch,heal
5367,What does sex often make happen in people?,making love,feel good,happyness,wonderful thing
5368,Where would you see people in uniform playing with a ball?,hole,television,sporting goods store,pool table
5369,What kind of place could have a seafood restaurant?,new york,coastal cities,city,coastal cities
5370,Who was the head of the branch yelling at?,owner,foot,subordinate,base
5371,"He made another call, he did this all day hoping people would what well to his offer?",hang up,respond,contact,answer
5372,"She needs to visit a bookshop after buying the latest fashion, where should she look?",student union,mall,department store,library
5373,Where could you see an advertisement while reading news?,television,bus,email,web page
5374,What is required to be good at playing tennis?,tennis racket,skill,competition,tennis court
5375,What state is the John Davis  Lodge toll road found in?,new jersey,eastern united states,good repair,connecticut
5376,"The man went to clown college, he had always want to run away with the what?",circus,carnival,surprise,spoons
5377,"Jamie wanted to reduce her waist size, but all of her efforts failed miserably.  She continued to do what?",gain weight,augment,dispare,make larger
5378,James felt himself losing consciousness.  He was frightened.  He didn't want this.  He was scared of what?,death,coma,peace,forgetfulness
5379,"If someone is aloof and self-important, what is their experience when meeting people?",stress,nervousness,smile,being bored
5380,"He was receiving workman's compensation, he had tripped over a metal rod while building where?",factory,construction site,engine,insides of skyscraper's walls
5381,John and James spent most of their time communicating with each other on their project.  The time required to communicate slowed their what?,static,train of thought.,progress,transfer of information
5382,When you play around with your dog they will have?,alive,health,fun,playing dead
5383,Where would a person keep a book while it's being read?,closet,library of congress,classroom,in bed
5384,"The student needed to  get some new pencils, where did he go?",store,classroom,backpack,cabinet
5385,"She loved buying products, she was driven by her what to shop more than any practical needs?",desire,money,time,credit
5386,How does getting paid feel?,income tax,satisfaction,sorrow,ocean
5387,"The fat man refused to accept what was possible, he complained that he what the simplest activities?",no go,unlikely,unable,cant do
5388,Where can meat last a long time?,backery,ham sandwich,fridge,butcher shop
5389,What group of musicians will include someone playing the cello?,ocean,symphony,band,music store
5390,Where do bees congregate with red flowerS?,trash can,honey,bouquet of flowers,rose garden
5391,What is someone who gets angry after getting drunk likely to participate in?,violence,falling down,vomiting,vomiting
5392,"The teacher told all the students that listening was key, it was the main way they would gain what?",empathy,anxiety,knowlege,falling down
5393,Stanley had a dream that was very vivid and scary. He had trouble telling it from what?,reality,imagination,dreamworker,nightmare
5394,The city's community garden was demolished for yet another what?,wasteland,ocean,desert,parking lot
5395,WHat do cats get into when they are ripping things apart?,dog's mouth,floor,garage,trouble
5396,What is a good result of losing weight?,increased energy,healthier,loose skin,beauty
5397,A person lived in my what?,demonstration,conference,building,garage
5398,"The skin was cut while chopping onions, where was this skin likely cut?",good health,finger,meat,body
5399,What might you feel after doing housework for hours?,anger,not boredom,stress,boredom
5400,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",ignore,enforce,authoritarian,yell at
5401,Sammy wanted to go to where the people were.  Where might he go?,race track,populated areas,the desert,apartment
5402,To locate a choker not located in a jewelry box or boutique where would you go?,jewelry store,neck,jewlery box,jewelry box
5403,Google Maps and other highway and street GPS services have replaced what?,united states,mexico,countryside,atlas
5404,"The fox walked from the city into the forest, what was it looking for?",pretty flowers.,hen house,natural habitat,storybook
5405,What home entertainment equipment requires cable?,radio shack,substation,cabinet,television
5406,"The only baggage the woman checked was a drawstring bag, where was she heading with it?",garbage can,military,jewelry store,safe
5407,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",carpet,refrigerator,breadbox,fridge
5408,What do people use to absorb extra ink from a fountain pen?,shirt pocket,calligrapher's hand,inkwell,desk drawer
5409,Where is a business restaurant likely to be located?,town,at hotel,mall,business sector
5410,Where do you put your grapes just before checking out?,mouth,grocery cart,super market,fruit basket
5411,"Before getting a divorce, what did the wife feel who was doing all the work?",harder,anguish,bitterness,tears
